beta,mean_jaccard,exact_matches,near_exact_matches,n_questions
0.000,0.398867,5,5,60
0.025,0.422480,5,5,60
0.050,0.407227,4,4,60
0.075,0.445798,5,5,60
0.100,0.420876,3,3,60
0.200,0.474396,7,8,60
0.300,0.494497,7,7,60
0.400,0.514343,6,8,60
0.500,0.531295,8,8,60
0.600,0.563207,10,11,60
0.700,0.618314,12,12,60
0.800,0.628950,12,13,60
0.900,0.723531,15,19,60
1.000,0.731749,18,19,60
